id,date,open,high,low,close,adjusted_close,volume
73,2024-02-23,58.23,59.4301,57.145,59.16,59.1600,56473776
74,2024-02-16,58.61,60.615,57.63,59.14,59.1400,83345929
75,2024-02-09,62.0,64.9,55.77,58.91,58.9100,160693088
76,2024-02-02,61.2,64.5,60.6423,62.42,62.4200,78391325
77,2024-01-26,68.022,68.21,58.9,61.78,61.7800,147250997
78,2024-01-19,60.05,66.21,56.471,65.82,65.8200,114038571
79,2024-01-12,60.4,62.02,60.06,61.0,61.0000,60462905
80,2024-01-05,61.22,62.1599,57.44,60.12,60.1200,70562231
81,2023-12-29,61.95,63.5,61.15,61.41,61.4100,49063157
82,2023-12-22,61.42,63.965,60.855,61.84,61.8400,76310347
83,2023-12-15,59.1,64.13,58.135,61.26,61.2600,97014596
84,2023-12-08,59.43,60.46,57.32,58.94,58.9400,93705444
85,2023-12-01,56.0,60.2,55.71,59.65,59.6500,95875142
86,2023-11-24,56.54,57.235,55.275,55.76,55.7600,43448721
87,2023-11-17,54.44,58.555,53.98,56.54,56.5400,68753077
88,2023-11-10,56.65,56.72,53.55,54.77,54.7700,73057601
89,2023-11-03,50.95,56.27,50.575,56.1,56.1000,105461288
90,2023-10-27,52.92,54.61,50.25,50.39,50.3900,81575652
91,2023-10-20,56.11,57.59,53.34,53.39,53.3900,72388481
92,2023-10-13,56.995,58.89,55.53,55.75,55.7500,64259838
93,2023-10-06,58.62,59.64,55.86,57.77,57.7700,67380819
94,2023-09-29,57.54,59.57,56.53,58.46,58.4600,63714609
95,2023-09-22,63.35,63.515,57.835,57.88,57.8800,64753130
96,2023-09-15,61.73,65.73,61.27,64.21,64.2100,70339135
97,2023-09-08,63.38,64.18,60.31,60.98,60.9800,54446903
98,2023-09-01,61.59,63.65,61.03,63.57,63.5700,59683315
99,2023-08-25,59.46,62.37,58.75,61.19,61.1900,68600274
100,2023-08-18,62.15,63.44,57.29,59.42,59.4200,110916780
101,2023-08-11,63.02,64.75,61.47,61.54,61.5400,80748766
102,2023-08-04,74.9,76.54,62.6585,62.75,62.7500,131554438
103,2023-07-28,73.04,75.055,71.81,73.98,73.9800,50751207
104,2023-07-21,72.52,75.04,71.83,72.99,72.9900,76987193
105,2023-07-14,66.8,72.98,66.69,72.1,72.1000,70867937
106,2023-07-07,67.12,68.9,65.63,66.79,66.7900,52399101
107,2023-06-30,66.87,67.58,65.62,66.73,66.7300,75787436
108,2023-06-23,67.13,69.2,65.85,66.94,66.9400,99846091
109,2023-06-16,63.6,67.15,62.63,66.43,66.4300,111192499
110,2023-06-09,64.07,65.32,62.43,63.49,63.4900,72769652
111,2023-06-02,61.04,64.395,59.55,63.96,63.9600,82214858
112,2023-05-26,60.95,63.3,58.95,60.22,60.2200,96954413
113,2023-05-19,61.75,62.7292,60.4,60.92,60.9200,97308262
114,2023-05-12,75.71,76.38,61.31,61.69,61.6900,194490074
115,2023-05-05,76.03,76.5,71.35,74.97,74.9700,53675273
116,2023-04-28,74.41,76.05,71.03,76.0,76.0000,48889229
117,2023-04-21,76.835,77.95,72.92,74.18,74.1800,42777992
118,2023-04-14,74.46,76.735,73.21,76.53,76.5300,49831752
119,2023-04-06,75.625,75.92,72.28,74.96,74.9600,39198082
120,2023-03-31,74.815,76.03,71.86,75.94,75.9400,46716331
121,2023-03-24,73.0,77.115,71.53,73.88,73.8800,68606862
122,2023-03-17,72.622,75.065,71.0856,72.99,72.9900,75951926
123,2023-03-10,76.94,79.2651,73.1,73.43,73.4300,59278848
124,2023-03-03,74.32,76.32,72.6,76.29,76.2900,42662609
125,2023-02-24,73.71,76.28,72.98,73.55,73.5500,45673765
126,2023-02-17,80.65,80.71,73.59,74.66,74.6600,76529582
127,2023-02-10,83.33,83.8,78.095,80.8,80.8000,104260926
128,2023-02-03,80.87,88.625,79.535,85.52,85.5200,70946397
129,2023-01-27,77.83,82.5348,76.66,81.83,81.8300,57817117
130,2023-01-20,80.14,80.75,75.9001,79.09,79.0900,47080256
131,2023-01-13,77.0,80.3,76.5,79.48,79.4800,52049037
132,2023-01-06,73.69,78.48,73.38,76.48,76.4800,72400539
133,2022-12-30,68.96,71.26,67.2917,71.22,71.2200,42539957
134,2022-12-23,69.06,70.19,66.385,69.03,69.0300,65141054
135,2022-12-16,73.135,77.81,68.45,69.26,69.2600,95396322
136,2022-12-09,74.01,75.86,71.01,73.57,73.5700,82638088
137,2022-12-02,79.93,82.92,74.52,74.66,74.6600,91953810
138,2022-11-25,84.26,84.795,76.05,80.08,80.0800,44728467
139,2022-11-18,90.16,92.62,83.51,84.92,84.9200,63097938
140,2022-11-11,76.53,92.0,76.12,91.03,91.0300,91909138
141,2022-11-04,85.51,86.25,71.168,75.18,75.1800,109444323
142,2022-10-28,84.55,91.34,80.86,86.25,86.2500,70201301
143,2022-10-21,82.705,87.75,82.35,83.94,83.9400,63100628
144,2022-10-14,87.38,87.85,79.3501,80.47,80.4700,75260771
145,2022-10-07,87.53,95.57,85.445,90.17,90.1700,49341223
146,2022-09-30,87.065,91.65,84.13,86.07,86.0700,64904403
147,2022-09-23,93.0,95.64,85.68,86.97,86.9700,66432586
148,2022-09-16,97.28,99.3,91.85,94.0,94.0000,73992408
149,2022-09-09,91.16,97.27,89.811,96.23,96.2300,40854441
150,2022-09-02,91.025,96.3799,89.7937,91.13,91.1300,53511886
151,2022-08-26,94.05,97.455,92.38,92.7,92.7000,53195257
152,2022-08-19,100.72,103.03,95.9,96.56,96.5600,57443748
153,2022-08-12,96.35,101.95,93.61,101.1,101.1000,77754015
154,2022-08-05,87.05,101.9465,85.2701,95.32,95.3200,117578290
155,2022-07-29,80.85,87.62,76.71,86.53,86.5300,79611485
156,2022-07-22,75.118,84.51,73.61,81.05,81.0500,69794311
157,2022-07-15,72.66,74.0,68.51,73.91,73.9100,59185355
158,2022-07-08,70.18,75.4,68.76,73.43,73.4300,44744094
